timestamp,satellite_id,snr,pseudorange_residual,lat,lon
2025-10-30T09:00:00Z,G01,38.5,0.32,-33.8650,151.2090
2025-10-30T09:00:00Z,G03,41.2,0.15,-33.8650,151.2090
2025-10-30T09:00:00Z,G07,35.8,0.48,-33.8650,151.2090
2025-10-30T09:00:00Z,G09,12.4,1.95,-33.8650,151.2090
2025-10-30T09:00:00Z,G11,29.7,0.61,-33.8650,151.2090
2025-10-30T09:00:00Z,G14,44.1,0.11,-33.8651,151.2091
2025-10-30T09:00:00Z,G17,18.3,1.42,-33.8651,151.2091
2025-10-30T09:00:00Z,G20,33.6,0.55,-33.8651,151.2091
2025-10-30T09:00:02Z,G01,37.9,0.34,-33.8651,151.2091
2025-10-30T09:00:02Z,G03,40.5,0.18,-33.8651,151.2091
2025-10-30T09:00:02Z,G07,36.2,0.45,-33.8651,151.2091
2025-10-30T09:00:02Z,G09,11.8,2.10,-33.8651,151.2091
2025-10-30T09:00:02Z,G11,30.1,0.58,-33.8652,151.2092
2025-10-30T09:00:02Z,G14,43.7,0.12,-33.8652,151.2092
2025-10-30T09:00:02Z,G17,17.9,1.55,-33.8652,151.2092
2025-10-30T09:00:02Z,G20,34.1,0.52,-33.8652,151.2092
2025-10-30T09:00:04Z,G01,36.1,0.38,-33.8652,151.2092
2025-10-30T09:00:04Z,G03,39.8,0.21,-33.8652,151.2092
2025-10-30T09:00:04Z,G07,34.5,0.50,-33.8652,151.2092
2025-10-30T09:00:04Z,G09,10.2,2.45,-33.8653,151.2093
2025-10-30T09:00:04Z,G11,28.4,0.65,-33.8653,151.2093
2025-10-30T09:00:04Z,G14,42.9,0.14,-33.8653,151.2093
2025-10-30T09:00:04Z,G17,16.5,1.70,-33.8653,151.2093
2025-10-30T09:00:04Z,G20,33.0,0.57,-33.8653,151.2093
2025-10-30T09:00:06Z,G01,35.4,0.41,-33.8653,151.2093
2025-10-30T09:00:06Z,G03,38.9,0.24,-33.8653,151.2094
2025-10-30T09:00:06Z,G07,33.1,0.55,-33.8653,151.2094
2025-10-30T09:00:06Z,G09,8.7,2.80,-33.8654,151.2094
2025-10-30T09:00:06Z,G11,27.0,0.72,-33.8654,151.2094
2025-10-30T09:00:06Z,G14,42.0,0.16,-33.8654,151.2094
2025-10-30T09:00:06Z,G17,15.1,1.88,-33.8654,151.2094
2025-10-30T09:00:06Z,G20,31.8,0.61,-33.8654,151.2094
2025-10-30T09:00:08Z,G01,34.7,0.44,-33.8654,151.2094
2025-10-30T09:00:08Z,G03,37.5,0.27,-33.8654,151.2095
2025-10-30T09:00:08Z,G07,31.8,0.60,-33.8654,151.2095
2025-10-30T09:00:08Z,G09,14.5,1.65,-33.8655,151.2095
2025-10-30T09:00:08Z,G11,25.5,0.80,-33.8655,151.2095
2025-10-30T09:00:08Z,G14,41.1,0.18,-33.8655,151.2095
2025-10-30T09:00:08Z,G17,19.8,1.20,-33.8655,151.2095
2025-10-30T09:00:08Z,G20,30.5,0.65,-33.8655,151.2095
